epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,2.420478582382202,2.381345510482788,9.519999999046325,49.14000004882813,1e-06
1,2.3796331617567272,2.2584381843566894,13.800000003814697,63.25000001220703,0.00020089999999999998
2,2.299751043319702,2.2283332023620606,14.7,65.74000001373291,0.00040080000000000004
3,2.2836940818362765,2.1583588851928712,18.9,70.57000004272462,0.0006006999999999999
4,2.2715272108713784,2.149218164253235,21.649999978637695,69.44000008544921,0.0008005999999999999
5,2.278594652811686,2.1124374507904053,20.9,74.56000004882813,0.0010004999999999999
6,2.2625078095330133,2.094734079360962,22.699999996948243,73.29000007324218,0.0012003999999999997
7,2.2632153034210205,2.1461713874816897,21.44,68.84000000305176,0.0014002999999999997
8,2.2714830769432917,2.0640441925048827,24.57,76.60999999389648,0.0016001999999999998
9,2.267794132232666,2.036922166442871,24.28,79.8,0.0018001
10,2.2400821844736734,2.049669577789307,24.14,76.6799999633789,0.001978158526933439
11,2.247973601023356,2.047785940170288,25.37,75.58999991455079,0.0019735921134217235
12,2.247278849283854,2.039060008621216,27.43999999847412,79.38000004882812,0.001968598869548067
13,2.243605269326104,2.0295657217025758,28.52999995727539,81.67000003662109,0.0019631809855142593
14,2.2367092503441706,1.996878907585144,24.690000001525878,81.53999991455078,0.001957340837783301
15,2.2285451889038086,1.9861666515350342,27.61,84.8199999633789,0.001951080988037006
16,2.2391831080118814,2.0798937984466552,27.59999995727539,77.60000001220703,0.0019444041820523624
17,2.2339502705468073,1.9859527835845947,28.760000048828125,81.61000001220702,0.0019373133484971454
18,2.2328951358795166,2.0018358880996705,24.27000000915527,79.63999996337891,0.001929811597645307
19,2.216473870807224,1.973059568977356,24.950000007629395,82.06999997558594,0.001921902220012706
20,2.234213802549574,2.0812413108825685,21.500000006103516,72.68000001831055,0.0019135886849137793
21,2.2388788329230414,2.0370346183776857,24.619999997711183,77.11999991455077,0.0019048746389397863
22,2.227975500954522,2.059231300354004,24.449999999809265,76.49000001220703,0.001895763904359293
23,2.2227618429395886,2.027093211364746,22.31,77.69999992675781,0.001886260477441599
24,2.254425711101956,2.0315656719207764,24.24999999809265,80.42000001220703,0.0018763685267038414
25,2.221066289477878,1.9575098640441895,28.95999996948242,82.50999992675781,0.0018660923910825463
26,2.1963588926527233,1.9391588369369508,28.249999957275392,84.34,0.0018554365780304263
27,2.23728609085083,2.038249122428894,26.07999998474121,73.26000007324218,0.0018444057615392639
28,2.2347956233554416,1.937156492614746,29.769999998855592,83.59000001220703,0.0018330047800897442
29,2.190084801779853,1.8940681642532349,31.86999999847412,85.3100000732422,0.0018212386345291371
30,2.1667155159844294,1.8846818866729735,31.709999990844725,85.6299999633789,0.0018091124858777598
31,2.1910151640574136,1.9041628890991211,31.280000036621093,84.76000002441407,0.001796631653065184
32,2.1745778719584146,1.8539386211395263,32.38999998474121,86.5,0.0017838016105971768
33,2.161214484108819,1.8704844230651856,30.349999981689454,85.57000008544922,0.0017706279861544013
34,2.189244270324707,1.880321238708496,33.700000012207035,82.93000008544922,0.0017571165581239303
35,2.186827050315009,1.8566241214752197,31.720000018310547,85.54000007324218,0.0017432732530646556
36,2.185218334197998,1.8928208972930909,32.97999999847412,86.0899999633789,0.0017291041431077008
37,2.1184643374549017,1.774205125617981,35.5999999786377,85.98000004882813,0.0017146154432929868
38,2.1666341887580023,1.864648097038269,35.27999991455078,85.04000008544922,0.001699813508843109
39,2.191684272554186,1.8786561527252197,35.439999993896485,86.64,0.0016847048323757243
40,2.155771493911743,1.802209520149231,36.55999998168945,86.49000006103516,0.0016692960410556786
41,2.172422753440009,1.8696603748321534,35.710000018310545,87.08999992675781,0.0016535938936881104
42,2.1860256459977894,1.8887050298690795,34.85000005493164,86.1500000366211,0.0016376052777538153
43,2.1869642469618054,1.8192345687866212,35.87000001831055,86.97000008544921,0.0016213372063881711
44,2.182401100794474,1.8680693851470946,33.56999999923706,85.44999991455079,0.0016047968153049437
45,2.1570017602708607,1.7694115707397462,39.01999998168945,88.75999991455078,0.0015879913596663266
46,2.1033617390526667,1.7921625240325927,37.12999996337891,87.44,0.0015709282109005896
47,2.1633058653937445,1.8245042734146117,37.74,87.28999997558594,0.0015536148534687224
48,2.16072588496738,1.8119149398803711,36.91000001068115,87.88000007324219,0.0015360588815815069
49,2.1124649047851562,1.724334594154358,40.99000005493164,88.10999996337891,0.0015182679958684435
50,2.1921647919548883,1.858071483039856,39.890000024414064,88.80000004882812,0.0015002499999999998
51,2.1479143831464977,1.7828532962799073,36.94000000915528,87.66,0.0014820127972646642
