epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,4.766550103823344,4.757948048400879,0.82,5.2099999990463255,1e-06
1,4.619903186957042,4.434428131103515,3.8699999992370606,15.45000000152588,0.00020089999999999998
2,4.5656401713689165,4.352297262573242,4.64,17.879999999809264,0.00040080000000000004
3,4.542614042758942,4.2832085884094235,6.41,20.969999999427795,0.0006006999999999999
4,4.519695043563843,4.237672653198242,6.2300000019073485,20.999999989318848,0.0008005999999999999
5,4.512977917989095,4.193326458740234,6.659999996948242,23.359999987792968,0.0010004999999999999
6,4.4983590841293335,4.1348488304138185,7.669999994659424,25.41999998474121,0.0012003999999999997
7,4.482321401437123,4.1140692352294925,8.8,27.19999999847412,0.0014002999999999997
8,4.439931392669678,4.076794240570068,9.41999999961853,28.489999994659424,0.0016001999999999998
9,4.472617447376251,4.12041494064331,7.979999999046326,26.560000024414062,0.0018001
10,4.444417377312978,4.081741016387939,7.8599999908447264,26.760000009155274,0.001978158526933439
11,4.436351517836253,3.987474417114258,9.479999999046326,29.229999992370605,0.0019735921134217235
12,4.436595598856608,3.9776661598205565,9.860000003814697,31.790000021362303,0.001968598869548067
13,4.411929905414581,3.96970439453125,9.96,31.220000001907348,0.0019631809855142593
14,4.43218461672465,3.985812892150879,10.609999994659423,31.190000003051757,0.001957340837783301
15,4.423487265904744,3.9400445266723634,11.760000001907349,32.81999999389649,0.001951080988037006
16,4.404761373996735,3.9138392555236816,12.73999999923706,34.95999998474121,0.0019444041820523624
17,4.399750590324402,3.918664503479004,11.970000001907348,33.73999998779297,0.0019373133484971454
18,4.381375352541606,3.936846681976318,11.579999999427795,33.75000000915527,0.001929811597645307
19,4.400892158349355,3.8039203674316404,13.05,35.96999999389649,0.001921902220012706
20,4.371971031030019,3.875879685974121,12.669999994659424,35.09999998474121,0.0019135886849137793
21,4.392823080221812,3.8050442390441894,13.759999996185302,37.07000000610351,0.0019048746389397863
22,4.348088383674622,3.8468901397705078,14.559999996948243,37.33000000610352,0.001895763904359293
23,4.354514578978221,3.7735543949127197,14.290000004577637,38.84000002441406,0.001886260477441599
24,4.310556570688884,3.7645524467468263,15.319999997711182,40.46999998779297,0.0018763685267038414
25,4.370223859945933,3.7776055221557616,14.200000001907348,38.719999981689455,0.0018660923910825463
26,4.338761428991954,3.75748525390625,14.580000001525878,38.21000001525879,0.0018554365780304263
27,4.351584355036418,3.762026663970947,15.190000006866455,40.099999963378906,0.0018444057615392639
28,4.324681639671326,3.731373727416992,16.220000007629395,41.77999998168945,0.0018330047800897442
29,4.305992901325226,3.6587584991455078,16.00999999847412,40.97000002441406,0.0018212386345291371
30,4.386742889881134,3.6976794445037844,16.05,40.259999993896486,0.0018091124858777598
31,4.354101161162059,3.708680319213867,16.01999999923706,40.60999999694824,0.001796631653065184
32,4.329753180344899,3.715801266479492,14.84999999923706,39.600000024414065,0.0017838016105971768
33,4.310648222764333,3.6783037567138672,16.86000000152588,42.14000005493164,0.0017706279861544013
34,4.3380380272865295,3.6771645477294923,15.299999992370605,41.570000024414064,0.0017571165581239303
35,4.3256527582804365,3.6557437229156493,17.080000006103514,42.009999987792966,0.0017432732530646556
36,4.301112532615662,3.627164548110962,16.79000000152588,42.969999975585935,0.0017291041431077008
37,4.324324111143748,3.6504585922241213,18.19000000076294,44.47000001220703,0.0017146154432929868
38,4.302772382895152,3.6245189949035646,18.389999992370605,43.80000001220703,0.001699813508843109
39,4.322071552276611,3.5945746810913084,17.130000003814697,43.009999981689454,0.0016847048323757243
40,4.334808866182963,3.590574705505371,16.63999999961853,42.090000006103516,0.0016692960410556786
41,4.313449601332347,3.602341237258911,16.80999999809265,42.55999997558594,0.0016535938936881104
42,4.285605192184448,3.6200972164154055,16.880000007629395,43.420000024414065,0.0016376052777538153
43,4.293518940607707,3.5906183082580565,18.229999994659423,44.19999996337891,0.0016213372063881711
44,4.329857051372528,3.5781895771026613,18.010000006103514,43.87999999084472,0.0016047968153049437
45,4.296730001767476,3.5961290817260743,17.45000000076294,44.12999999084472,0.0015879913596663266
46,4.299106478691101,3.6207838848114013,17.00999999847412,42.53000000610351,0.0015709282109005896
47,4.2322283188502,3.492217726135254,19.629999992370607,46.74999995727539,0.0015536148534687224
48,4.2995591560999555,3.5774534900665285,18.779999996185303,45.86999998168945,0.0015360588815815069
49,4.265864173571269,3.6505017868041993,17.690000006103517,43.869999996948245,0.0015182679958684435
50,4.27855368455251,3.578785863876343,18.170000003051758,43.839999990844724,0.0015002499999999998
51,4.320228735605876,3.563795873260498,18.759999989318846,44.58999997558594,0.0014820127972646642
52,4.266147394975026,3.5476491432189943,18.810000006103515,44.63000004882812,0.0014635643871023017
53,4.278292417526245,3.508074181365967,19.44999999923706,46.250000036621095,0.0014449128615953348
54,4.3221688866615295,3.5760241191864015,17.909999995422364,44.73999998779297,0.0014260664019192899
55,4.2161058485507965,3.5781991710662844,18.72999999885559,46.620000048828125,0.001407033274754262
56,4.237787753343582,3.519665748977661,19.07,46.580000048828126,0.0013878218286588768
57,4.271817445755005,3.4886917751312256,19.83000000076294,46.70000001831055,0.0013684404904083357
58,4.261466284592946,3.5788296401977537,20.220000006103515,46.96000000610351,0.0013488977612981542
59,4.309214274088542,3.5241342315673827,19.47999998931885,46.06000001831055,0.0013292022134152137
60,4.253396670023601,3.472851589202881,20.90000000305176,47.65000005493164,0.0013093624858777598
61,4.292626678943634,3.440138598251343,19.939999992370605,46.99999995727539,0.001289387281045999
62,4.274261136849721,3.4741539333343505,21.1099999961853,48.649999993896486,0.0012692853607049579
63,4.280015796422958,3.502037327194214,20.440000001525878,47.190000048828125,0.0012490655422212722
64,4.291562139987946,3.468337060546875,20.800000009155273,48.24000004272461,0.0012287366946756005
65,4.221135715643565,3.411800341796875,21.809999990844727,49.56000003662109,0.0012083077349723504
66,4.297224183877309,3.490422341156006,20.619999992370605,47.549999993896485,0.0011877876239284318
67,4.258588333924611,3.5194333724975584,20.469999998474123,48.22000001831055,0.0011671853623427442
68,4.247631291548411,3.3983489040374755,21.429999996948244,49.44999998168945,0.0011465099870481305
69,4.221261262893677,3.384366721725464,20.68999999694824,47.48000001831055,0.001125770566947522
