dataset,dataset_label,init,init_label,n_seeds,common_epoch_budget,best_top1_mean,best_top1_std,best_top1_display,final_top1_mean,mean_curve_top1,delta_vs_default,delta_vs_mimetic,paper_top1,paper_gap
cifar10,CIFAR-10,default,Default,3,250,87.78666655273439,0.3843609749304547,87.79 +/- 0.38,87.67999996744793,71.00885323149618,0.0,-3.1366665527343685,92.29,-4.503333447265618
cifar10,CIFAR-10,mimetic,Mimetic,3,250,90.92333310546876,0.4593834535432911,90.92 +/- 0.46,90.84666638590495,75.84041320781046,3.1366665527343685,0.0,93.5,-2.576666894531243
cifar10,CIFAR-10,impulse,Structured,3,250,90.88999978434246,0.9650388471779218,90.89 +/- 0.97,90.7133329711914,75.95470654143678,3.103333231608076,-0.0333333211262925,94.67,-3.7800002156575374
cifar100,CIFAR-100,default,Default,1,250,67.95000015869141,0.0,67.95,67.9100001586914,50.333079926924135,0.0,-4.719999645996097,71.67,-3.719999841308592
cifar100,CIFAR-100,mimetic,Mimetic,1,250,72.6699998046875,0.0,72.67,72.55000014648438,56.14043992169037,4.719999645996097,0.0,75.16,-2.49000019531249
cifar100,CIFAR-100,impulse,Structured,1,250,71.97999970703125,0.0,71.98,71.70000014648437,55.643079904039,4.029999548339845,-0.6900000976562524,77.02,-5.040000292968742
