init,0,1,2,mean,std,common_epoch_budget
default,88.19999987792968,87.72,87.43999978027344,87.78666655273439,0.3843609749304547,250
mimetic,91.31999967041016,91.02999963378906,90.42000001220704,90.92333310546876,0.4593834535432911,250
impulse,91.8499997680664,90.89999979248049,89.91999979248047,90.88999978434246,0.9650388471779218,250
