epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,2.379814470807711,2.270499704360962,14.189999948120118,60.719999871826175,1e-06
1,2.2745911131302514,2.0127986419677732,27.819999948120117,82.74999985351562,0.00020089999999999998
2,2.228513851761818,1.9604550333023072,31.599999963378906,84.24999986572266,0.00040080000000000004
3,2.2035789539416633,1.86416987323761,36.06999982910156,87.93999984130859,0.0006006999999999999
4,2.176406150062879,1.8385556146621704,36.210000036621096,86.61000008544922,0.0008005999999999999
5,2.1514991174141564,1.7516053741455078,37.84000003662109,87.54000012207031,0.0010004999999999999
6,2.15661192437013,1.7288048839569092,39.210000073242185,89.40999993896484,0.0012003999999999997
7,2.140266090631485,1.7407544189453126,41.74999982910156,88.65999981689453,0.0014002999999999997
8,2.156735067566236,1.7076010541915894,40.60999983520508,90.2700000366211,0.0016001999999999998
9,2.135473243892193,1.6246319959640503,45.349999908447266,91.46999989013672,0.0018001
10,2.13553116718928,1.7213157794952392,43.2800000366211,89.78999981689454,0.001992118643963821
11,2.110932464400927,1.6205882341384887,47.060000006103515,91.33999998779296,0.0019904661949838027
12,2.1012216582894325,1.6889499765396119,44.54999989624024,90.65000007324218,0.001988657418865545
13,2.0985363076130548,1.5595867097854614,47.330000042724606,92.36000008544922,0.001986692601235764
14,2.0991612151265144,1.5860695585250855,49.08999979858398,91.95999982910156,0.0019845720523619407
15,2.093477249145508,1.562355092048645,50.46999987792969,91.48999998779297,0.0019822961071033246
16,2.0767563953995705,1.5705869979858398,49.81999987792969,93.2699998046875,0.001979865124858055
17,2.0802325159311295,1.5190761575698852,50.730000048828124,92.24999958496093,0.0019772794895064096
18,2.0590116952856383,1.4964635290145873,52.74999977416992,93.61000012207032,0.001974539609350184
19,2.044992978374163,1.4618530042648314,52.059999896240235,93.33999962158204,0.0019716459170482166
20,2.075304001569748,1.5542594575881958,51.43999977416992,92.78000014648437,0.001968598869548067
21,2.0524105628331504,1.4557188199996949,50.80999995727539,93.56999962158203,0.0019653989480138572
22,2.090573867162069,1.5199626586914063,50.03,92.82999968261718,0.001962046657750293
23,2.0347116937239966,1.35232022895813,55.1,94.8199998413086,0.0019585425281228672
24,2.037676580250263,1.520516068649292,53.160000006103516,94.2099998046875,0.0019548871124742697
25,2.061810982724031,1.35177431640625,57.269999896240236,94.77999978027344,0.001951080988037006
26,2.0379178623358407,1.318879731941223,58.06999997558594,95.13999959716797,0.0019471247558422466
27,2.035094087322553,1.3282734901428224,54.2499999206543,94.80999978027344,0.001943019040624918
28,2.026661137739817,1.4026662107467651,56.66000003662109,94.20999962158203,0.0019387644907250471
29,2.025427540143331,1.4024846429824829,56.38999993896484,94.81999985351563,0.0019343617779853837
30,2.0352518608172736,1.266826824760437,59.25999990234375,95.34999965820313,0.001929811597645307
31,1.9831743662556012,1.3821967756271363,56.00999978637695,92.32999992675781,0.0019251146682310405
32,2.004865343372027,1.3322305934906007,59.83,95.30000006103515,0.0019202717314421873
33,2.0221983268857002,1.4056555391311645,58.209999853515626,94.90000009765625,0.0019152835520346069
34,1.983958584566911,1.2912851234436036,58.250000030517576,95.2899998413086,0.001910150917699653
35,2.030029190083345,1.2957355512619018,60.6699999206543,96.43000013427735,0.0019048746389397863
36,1.9878125290075939,1.2608346961975099,61.45999985961914,95.71999981689453,0.0018994555489405876
37,2.0187975764274597,1.3740785654067993,55.369999987792966,95.36999991455077,0.001893894503439188
38,2.0133400882283845,1.2640630537033082,60.260000048828125,95.53999987792969,0.0018881923805891376
39,1.9939552669723828,1.2431923261642457,60.11999990234375,95.86999981689453,0.0018823500808217357
40,1.9550013567010562,1.1493469337463378,63.19999997558594,96.61999959716798,0.0018763685267038414
41,1.9941664611299832,1.1862273494720459,62.3999998046875,96.55999975585938,0.0018702486627921908
42,1.9656090090672176,1.1935294202804565,61.88999985961914,96.44000001220704,0.0018639914554842384
43,1.995939331750075,1.3200379491806031,61.809999822998044,95.94999975585938,0.0018575978928655553
44,1.978517177204291,1.1844669540405273,63.589999755859374,96.25999969482422,0.0018510689845537946
45,2.0013067200779915,1.1767153678894042,64.83999985351562,96.7399995727539,0.0018444057615392639
46,1.9976685618360837,1.159549910736084,63.89999991455078,96.47999975585938,0.0018376092760221206
47,1.9659860233465831,1.163934428024292,63.28999989624023,97.00999989013673,0.0018306806012462148
48,1.9678519442677498,1.2180090208053589,61.349999963378906,96.14999963378907,0.001823620831329613
